Day,FNC,TFRatio,WVC_FNC,N0,Rainfall,AbsHum,Soil,AirT,AirP,RelHum
734824.5,2603.4583,0.5022,2710.625,3701.771798,0,0.0076,0.0535,14.4998,904.0226,61.8014
734825.5,2658.375,0.4956,2751.3066,3743.635589,0,0.0065,0.0518,15.5272,900.9021,49.679
734826.5,2688.375,0.4876,2756.4838,3737.746597,0,0.0047,0.0503,15.008,900.8774,36.6822
734827.5,2697.375,0.48,2788.2397,3769.846951,0,0.0062,0.049,15.1535,902.6233,48.1662
734828.5,2610.625,0.5116,2706.4867,3649.054015,5.7778,0.0068,0.0478,10.7206,907.6038,68.5786
734829.5,2549.4167,0.5293,2641.1136,3579.876444,0.1444,0.0067,0.0501,11.9515,908.7979,63.6575
734830.5,2627,0.5067,2704.9785,3673.85137,0,0.0055,0.051,15.4475,904.975,43.719
734831.5,2652.625,0.5009,2742.3954,3722.886626,3.1556,0.0063,0.0508,15.688,902.8906,47.8588
734832.5,2493.75,0.5387,2597.1738,3553.586421,1.4,0.0077,0.0544,10.6147,907.3337,78.0826
734833.5,2585.7917,0.5115,2669.1829,3663.68171,0,0.006,0.0558,12.9609,912.2264,54.9253
734834.5,2696.625,0.4993,2751.5366,3763.864601,0,0.0038,0.0542,13.6076,913.2507,31.6604
734835.5,2697.1667,0.4984,2754.055,3753.979225,0,0.0039,0.0526,13.1783,908.6212,34.7926
734836.5,2744.3333,0.4831,2810.7465,3821.76462,0,0.0045,0.0515,14.0577,906.6448,37.2296
734837.5,2740.2917,0.4758,2799.7989,3796.880145,0,0.004,0.0503,17.6258,898.9451,28.6786
734838.5,2686.6667,0.4921,2752.9999,3730.001348,5.5444,0.0046,0.0499,11.5929,897.1125,49.35
734839.5,2385.4167,0.5628,2463.1031,3470.90231,5.5222,0.006,0.0685,6.8379,901.0639,77.694
734840.5,2365.9583,0.5586,2427.7004,3541.66176,7.0444,0.0048,0.087,5.3,904.8649,70.5692
734841.5,2297.8333,0.5688,2359.268,3586.677577,0.0556,0.005,0.1119,2.6104,906.2781,85.26
734842.5,2329.9167,0.5456,2382.9207,3589.46942,0.0333,0.0042,0.106,2.2446,908.1865,74.2531
734843.5,2435.9167,0.5321,2485.1136,3719.312872,0.0778,0.0038,0.102,2.3248,911.7399,66.1333
734844.5,2482.5833,0.5325,2536.1527,3770.147599,0,0.004,0.0979,4.9633,907.2674,59.4571
734845.5,2501.7083,0.5166,2554.79,3781.406027,0,0.0039,0.0953,6.8943,905.8559,51.7071
734846.5,2495,0.5138,2551.7067,3764.446528,0,0.0042,0.0934,8.9165,907.2792,49.2471
734847.5,2457.8333,0.5138,2518.2883,3704.275877,0,0.0046,0.0917,10.8574,905.2226,46.5061
734848.5,2487.5833,0.5064,2552.9558,3742.781955,0,0.0049,0.0898,12.2321,901.0563,46.0075
734849.5,2347.6667,0.5459,2426.5726,3585.854317,6.8111,0.0063,0.0944,9.5998,900.3274,68.6243
734850.5,2100.3333,0.5836,2177.1228,3605.859383,31.5444,0.0068,0.1778,6.8651,903.1333,88.4345
734851.5,2078.7083,0.5601,2141.9598,3620.491156,0.0222,0.0056,0.1971,6.0725,907.2604,75.8785
734852.5,2131.5833,0.556,2203.9048,3649.14507,0.0222,0.0063,0.1776,7.665,903.5559,79.2989
734853.5,2191.2917,0.5388,2256.367,3686.252888,0,0.0055,0.1657,11.8238,903.3389,53.6153
734854.5,2191.375,0.5314,2255.9588,3637.316782,0,0.0055,0.1547,12.526,906.0104,50.1038
734855.5,2171.125,0.5438,2250.6234,3628.574424,7.4333,0.0068,0.1547,7.1894,904.4944,86.304
734856.5,2124.625,0.5601,2199.212,3613.886963,0.5778,0.0065,0.1708,7.276,904.1611,82.352
734857.5,2196.5833,0.542,2272.0109,3700.042041,0,0.0064,0.163,7.6516,901.5799,77.294
734858.5,2218.2917,0.546,2293.6282,3706.686155,0.0333,0.0063,0.1566,7.5522,903.6583,77.9309
734859.5,2256.4583,0.5407,2310.0958,3711.614607,0.0111,0.0044,0.1519,4.9519,907.4587,62.8263
734860.5,2290.2083,0.5179,2335.1018,3729.651543,0,0.0036,0.1472,4.0384,912.0292,56.454
734861.5,2331.5417,0.521,2378.9343,3777.937619,0,0.0038,0.1428,6.8532,913.0569,49.0834
734862.5,2332.0833,0.511,2361.2972,3731.303993,0,0.0023,0.139,8.3216,911.384,26.7802
734863.5,2353.375,0.5118,2389.8717,3757.552756,0,0.0029,0.1352,7.7317,910.9406,34.4999
734864.5,2390,0.5039,2434.3723,3813.050111,0,0.0035,0.1325,8.4609,909.9604,38.7624
734865.5,2370.5833,0.5056,2421.8385,3781.319226,0,0.004,0.1302,9.6134,908.6042,42.357
734866.5,2395.25,0.5043,2451.4546,3815.179418,0,0.0044,0.1279,12.5815,905.6076,38.301
734867.5,2410.0833,0.497,2465.495,3824.207945,0,0.0043,0.1255,14.4776,905.1493,32.8408
734868.5,2393.375,0.4989,2461.1102,3804.007469,0,0.0052,0.123,14.1198,907.8643,41.4776
734869.5,2402.0833,0.498,2479.1627,3818.75851,0,0.006,0.1207,16.5474,911.0886,41.2342
734870.5,2418.6667,0.502,2485.309,3814.50129,0,0.0051,0.1182,15.3501,911.9272,36.4042
734871.5,2448.5833,0.4929,2505.1519,3831.307864,0,0.0043,0.1159,14.1842,911.5783,33.4769
734872.5,2458.8333,0.4935,2514.9247,3833.502488,0,0.0043,0.1137,14.9302,911.7985,32.9319
734873.5,2470.7917,0.4908,2518.3081,3754.790522,0,0.0036,0.0997,13.28,906.9522,29.9045
734874.5,2490.6667,0.493,2537.0271,3710.33161,0,0.0035,0.0884,12.5699,904.1059,30.0724
734875.5,2511.2083,0.4797,2551.0273,3721.303558,0,0.0029,0.0869,11.9317,902.3862,26.5262
734876.5,2514.4167,0.4806,2560.5282,3728.62755,0,0.0034,0.0859,7.2971,905.7082,42.1779
734877.5,2516.25,0.4883,2571.5394,3738.824376,0,0.0041,0.0851,8.2582,909.1372,47.7547
734878.5,2495.4167,0.4875,2552.1902,3703.862139,0,0.0042,0.084,9.7391,906.1244,43.9696
734879.5,2518.25,0.4842,2569.549,3720.956752,0,0.0038,0.0828,10.2355,903.8633,39.0236
734880.5,2538.7083,0.4792,2587.163,3738.734107,0,0.0035,0.0817,8.8437,904.9652,39.3392
734881.5,2556.9583,0.4776,2603.9377,3759.236596,0,0.0034,0.0812,11.1924,908.2726,33.5975
734882.5,2541.5,0.4829,2584.3529,3714.985585,0,0.0031,0.0789,12.8029,908.0546,27.8394
