SWC ,X,Y,Z,WI,ER_top,ER_bot,,,,
12.46,251085,4550335,3349.95,9.48,31.7,35.2,,,,
12.47,251085,4550340,3350.23,7.48,31.7,35.2,,,,
12.48,251085,4550345,3350.77,5.53,31.7,35.2,,,,
12.48,251085,4550350,3350.77,5.33,29.3,35.2,,,,
12.48,251085,4550355,3350.77,5.90,25.8,35.2,,,,
12.49,251085,4550360,3350.77,10.95,25.4,35.2,,,,
12.49,251085,4550365,3351.48,5.17,25.4,35.2,,,,
12.51,251085,4550370,3351.48,9.84,25.4,35.2,,,,
12.52,251085,4550375,3351.48,10.13,25.4,35.2,,,,
12.54,251085,4550380,3351.48,10.13,25.4,35.2,,,,
13.24,251090,4550115,3347.28,10.67,18.3,22.2,,,,
13.18,251090,4550120,3347.37,7.88,18.3,34.6,,,,
13.11,251090,4550125,3348.29,5.17,18.3,34.6,,,,
13.03,251090,4550130,3348.29,5.68,18.3,34.6,,,,
12.96,251090,4550135,3348.29,10.13,23.1,34.6,,,,
12.88,251090,4550140,3348.29,10.22,24.8,48.1,,,,
12.80,251090,4550145,3348.29,10.66,24.8,48.1,,,,
12.71,251090,4550150,3348.29,10.22,24.8,48.1,,,,
12.63,251090,4550155,3348.29,11.01,24.8,48.1,,,,
12.53,251090,4550160,3348.29,12.09,24.8,48.1,,,,
12.44,251090,4550165,3348.33,10.40,24.5,48.1,,,,
12.34,251090,4550170,3349.14,5.04,17.9,48.1,,,,
12.26,251090,4550175,3349.14,6.23,17.9,46.1,,,,
12.16,251090,4550180,3349.14,12.86,17.9,35.2,,,,
12.08,251090,4550185,3349.14,12.22,17.9,35.2,,,,
11.99,251090,4550190,3349.14,11.21,17.9,35.2,,,,
11.91,251090,4550195,3349.91,5.17,17.9,35.2,,,,
11.84,251090,4550200,3349.91,10.24,17.9,35.2,,,,
11.77,251090,4550205,3349.91,13.65,17.9,35.2,,,,
11.72,251090,4550210,3349.91,10.13,17.9,35.2,,,,
11.66,251090,4550215,3349.91,10.13,17.9,35.2,,,,
11.63,251090,4550220,3349.91,11.01,17.9,26.9,,,,
11.59,251090,4550225,3349.91,10.70,17.9,26.9,,,,
11.58,251090,4550230,3349.91,10.90,17.9,26.9,,,,
11.58,251090,4550235,3349.91,11.08,17.9,26.9,,,,
11.60,251090,4550240,3349.91,10.13,17.9,35.2,,,,
11.62,251090,4550245,3349.91,10.80,17.9,35.2,,,,
11.66,251090,4550250,3349.91,10.37,25.4,35.2,,,,
11.70,251090,4550255,3349.91,11.02,25.4,35.2,,,,
11.74,251090,4550260,3349.91,10.13,25.4,35.2,,,,
11.80,251090,4550265,3349.91,11.58,25.4,35.2,,,,
11.86,251090,4550270,3349.91,6.92,25.4,35.2,,,,
11.92,251090,4550275,3349.91,6.69,25.4,35.2,,,,
11.98,251090,4550280,3349.91,6.59,25.4,35.2,,,,
12.04,251090,4550285,3349.91,10.08,31.7,35.2,,,,
12.10,251090,4550290,3349.91,10.13,31.7,35.2,,,,
12.15,251090,4550295,3349.91,10.13,31.7,35.2,,,,
12.20,251090,4550300,3349.91,10.71,31.7,44.1,,,,
12.24,251090,4550305,3349.91,10.13,31.7,44.8,,,,
12.28,251090,4550310,3349.91,11.08,31.7,44.8,,,,
12.32,251090,4550315,3349.91,10.13,31.7,44.8,,,,
12.34,251090,4550320,3349.91,10.94,31.7,44.8,,,,
12.37,251090,4550325,3349.91,11.16,31.7,44.8,,,,
12.39,251090,4550330,3349.91,11.78,31.7,44.8,,,,
12.40,251090,4550335,3349.91,11.52,31.7,44.4,,,,
12.41,251090,4550340,3349.91,11.41,31.7,35.2,,,,
12.41,251090,4550345,3349.91,11.84,31.7,35.2,,,,
12.41,251090,4550350,3350.29,7.23,31.7,35.2,,,,
12.41,251090,4550355,3350.77,6.33,31.7,35.2,,,,
12.41,251090,4550360,3350.77,11.30,27.9,35.2,,,,
12.41,251090,4550365,3351.48,5.17,25.4,35.2,,,,
12.42,251090,4550370,3351.48,5.67,25.4,35.2,,,,
12.44,251090,4550375,3351.48,10.51,25.4,35.2,,,,
12.46,251090,4550380,3351.48,10.57,25.4,35.2,,,,
12.49,251090,4550385,3351.48,10.41,25.4,35.2,,,,
12.53,251090,4550390,3351.48,10.56,25.4,25.3,,,,
13.38,251095,4550105,3347.28,10.53,18.3,22.2,,,,
13.31,251095,4550110,3347.28,12.07,18.3,22.2,,,,
13.24,251095,4550115,3347.28,10.53,18.3,22.2,,,,
13.17,251095,4550120,3347.28,12.04,18.3,34.6,,,,
13.09,251095,4550125,3347.57,7.19,18.3,34.6,,,,
13.02,251095,4550130,3348.29,5.33,18.3,34.6,,,,
12.93,251095,4550135,3348.29,5.53,23.5,34.6,,,,
12.85,251095,4550140,3348.29,11.01,24.8,48.1,,,,
12.75,251095,4550145,3348.29,11.34,24.8,48.1,,,,
12.66,251095,4550150,3348.29,11.07,24.8,48.1,,,,
12.57,251095,4550155,3348.29,12.42,24.8,48.1,,,,
12.46,251095,4550160,3348.29,12.66,24.8,48.1,,,,
12.37,251095,4550165,3348.38,9.72,24.1,48.1,,,,
12.26,251095,4550170,3349.14,5.10,17.9,48.1,,,,
12.17,251095,4550175,3349.14,10.36,17.9,35.2,,,,
12.05,251095,4550180,3349.14,10.13,17.9,35.2,,,,
11.97,251095,4550185,3349.14,12.12,17.9,35.2,,,,
11.86,251095,4550190,3349.14,12.16,17.9,35.2,,,,
11.78,251095,4550195,3349.91,6.56,17.9,35.2,,,,
11.68,251095,4550200,3349.91,10.13,17.9,35.2,,,,
11.61,251095,4550205,3349.91,11.25,17.9,35.2,,,,
11.53,251095,4550210,3349.91,13.38,17.9,35.2,,,,
11.47,251095,4550215,3349.91,11.98,17.9,35.2,,,,
11.43,251095,4550220,3349.91,10.13,17.9,26.9,,,,
11.39,251095,4550225,3349.91,10.13,17.9,26.9,,,,
11.38,251095,4550230,3349.91,10.37,17.9,26.9,,,,
11.37,251095,4550235,3349.91,10.36,17.9,26.9,,,,
11.41,251095,4550240,3349.91,10.49,17.9,35.2,,,,
11.42,251095,4550245,3349.91,10.13,17.9,35.2,,,,
11.49,251095,4550250,3349.91,11.39,21.4,35.2,,,,
11.53,251095,4550255,3349.91,10.55,25.4,35.2,,,,
11.58,251095,4550260,3349.91,11.54,25.4,35.2,,,,
11.65,251095,4550265,3349.91,7.71,25.4,35.2,,,,
11.73,251095,4550270,3349.91,6.58,25.4,35.2,,,,
11.79,251095,4550275,3349.74,6.62,25.4,35.2,,,,
11.88,251095,4550280,3349.74,8.58,25.4,35.2,,,,
11.94,251095,4550285,3349.91,5.56,31.7,35.2,,,,
12.02,251095,4550290,3349.91,6.06,31.7,35.2,,,,
12.07,251095,4550295,3349.91,11.00,31.7,35.2,,,,
12.14,251095,4550300,3349.91,11.17,31.7,44.6,,,,
12.19,251095,4550305,3349.91,10.38,31.7,44.8,,,,
12.24,251095,4550310,3349.91,10.37,31.7,44.8,,,,
12.27,251095,4550315,3349.91,11.81,31.7,44.8,,,,
12.31,251095,4550320,3349.91,10.13,31.7,44.8,,,,
12.33,251095,4550325,3349.91,12.48,31.7,44.8,,,,
12.35,251095,4550330,3349.91,10.13,31.7,44.8,,,,
12.36,251095,4550335,3349.91,11.97,31.7,44.8,,,,
12.37,251095,4550340,3349.91,11.70,31.7,35.2,,,,
12.37,251095,4550345,3349.91,12.73,31.7,35.2,,,,
12.37,251095,4550350,3349.91,11.97,31.7,35.2,,,,
